workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size
swap,100,2,uniform,,110000,110000,100000,110000,100000,10000,42,0.0015612999850418419,0.00011870000162161887,0.1948491999937687,0.19496789999539033,124.87536147011832,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,3,uniform,,110000,110000,100000,110000,100000,10000,42,0.001368400000501424,0.00011839999933727086,0.19688490001135506,0.19700330001069233,143.96616481913492,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,4,uniform,,110000,110000,100000,110000,100000,10000,42,0.0020592999935615808,0.0001247999898623675,0.23495189999812283,0.2350766999879852,114.15369335354467,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,5,uniform,,110000,110000,100000,110000,100000,10000,42,0.0015089000225998461,0.00012069998774677515,0.20751259999815375,0.20763329998590052,137.60573720990922,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,6,uniform,,110000,110000,100000,110000,100000,10000,42,0.0014727999805472791,0.00012879999121651053,0.20046390002244152,0.20059270001365803,136.1981957245271,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,7,uniform,,110000,110000,100000,110000,100000,10000,42,0.0013413999986369163,0.0001260999997612089,0.19799739998416044,0.19812349998392165,147.69904591117327,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,8,uniform,,110000,110000,100000,110000,100000,10000,42,0.0013153000036254525,0.00022419999004341662,0.19965029999730177,0.1998744999873452,151.96114911914944,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,9,uniform,,110000,110000,100000,110000,100000,10000,42,0.0015328999725170434,0.0001241000136360526,0.19579719999455847,0.19592130000819452,127.81088363286287,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,10,uniform,,110000,110000,100000,110000,100000,10000,42,0.0015848999901209027,0.00012969999806955457,0.19910739999613725,0.1992370999942068,125.70957236172876,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,11,uniform,,110000,110000,100000,110000,100000,10000,42,0.0012971999822184443,0.0001272000081371516,0.19301429999177344,0.1931414999999106,148.89107512135794,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,12,uniform,,110000,110000,100000,110000,100000,10000,42,0.0012419000267982483,0.00010490001295693219,0.18328160000965,0.18338650002260692,147.6660730054069,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,13,uniform,,110000,110000,100000,110000,100000,10000,42,0.0013439999893307686,0.00018160001491196454,0.19987529999343678,0.20005690000834875,148.85186130690752,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,14,uniform,,110000,110000,100000,110000,100000,10000,42,0.00125200001639314,0.00012730000889860094,0.1942556999856606,0.1943829999945592,155.2579851832215,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,15,uniform,,110000,110000,100000,110000,100000,10000,42,0.0014293999993242323,0.00014220000593923032,0.1922218999825418,0.19236409998848103,134.57681550260506,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,16,uniform,,110000,110000,100000,110000,100000,10000,42,0.001346200006082654,0.0001249000197276473,0.19947580000734888,0.19960070002707653,148.26972153112695,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,17,uniform,,110000,110000,100000,110000,100000,10000,42,0.0014652000099886209,0.00013569998554885387,0.1933439999993425,0.19347969998489134,132.05002638949884,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,18,uniform,,110000,110000,100000,110000,100000,10000,42,0.0017804999952204525,0.00017899999511428177,0.20514640002511442,0.2053254000202287,115.3189556705426,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,19,uniform,,110000,110000,100000,110000,100000,10000,42,0.0015830000047571957,0.00013169998419471085,0.19654210002045147,0.19667380000464618,124.24118724801424,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,0,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,3.190001007169485e-05,3.0999945010989904e-06,0.18562849998124875,0.18563159997574985,5819.170575762994,6,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,1,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,4.4199987314641476e-05,2.7999922167509794e-06,0.1900074000004679,0.19001019999268465,4298.874536774873,2,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,2,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,4.600000102072954e-05,3.4999975468963385e-06,0.2162751999858301,0.216278699983377,4701.710764873955,14,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,3,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,3.130000550299883e-05,2.8999929782003164e-06,0.19330849999096245,0.19331139998394065,6176.081980733826,2,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,4,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,4.2400002712383866e-05,3.0999945010989904e-06,0.20494399999734014,0.20494709999184124,4833.657709460049,4,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,5,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,4.4899992644786835e-05,2.900022082030773e-06,0.18679410000913776,0.1867970000312198,4160.290214499803,32,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,6,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,4.9700000090524554e-05,2.8999929782003164e-06,0.22278820001520216,0.22279110000818036,4482.7183018588385,4,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,1,7,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,3.050002851523459e-05,2.600019797682762e-06,0.1999626999895554,0.1999653000093531,6556.233214977867,6,2,2,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
