algorithm,case_type,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout,code_version
FD-Hash,pass,1000,1100,1100,1000,3,0,0.1,4,1,100,4,0.018510099995182827,0.0009092999971471727,0.01953469999716617,0.569549560546875,28.40625,0.569549560546875,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,3,1,0.1,4,1,100,4,0.018352000013692304,0.0010785000049509108,0.01956610000343062,0.5696182250976562,28.28125,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,3,2,0.1,4,1,100,4,0.01806679999572225,0.0008950000046752393,0.01910549998865463,0.5696182250976562,28.27734375,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,3,3,0.1,4,1,100,4,0.01684259998728521,0.0008436000207439065,0.01782049998291768,0.5696182250976562,28.27734375,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,3,4,0.1,4,1,100,4,0.017114400019636378,0.0009145999792963266,0.018151800002669916,0.5696182250976562,28.27734375,0.5696182250976562,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,3,0,0.1,4,1,100,1,0.0021498000132851303,0.00043360001291148365,0.002682899998035282,0.12091064453125,28.3203125,0.12091064453125,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,3,1,0.1,4,1,100,1,0.0019137999915983528,0.0005806999979540706,0.002580200001830235,0.12094879150390625,28.3203125,0.12094879150390625,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,3,2,0.1,4,1,100,1,0.0023742000048514456,0.00044319999869912863,0.0029223999881651253,0.12093353271484375,28.3203125,0.12093353271484375,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,3,3,0.1,4,1,100,1,0.0018768999725580215,0.00041519998922012746,0.002383599989116192,0.1209259033203125,28.3203125,0.1209259033203125,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,3,4,0.1,4,1,100,1,0.002066699991701171,0.00041700000292621553,0.0025676999939605594,0.12091827392578125,28.3203125,0.12091827392578125,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,4,0,0.1,4,1,100,0,0.0,0.4645304000005126,0.48418369999853894,0.9091558456420898,26.828125,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,4,1,0.1,4,1,100,0,0.0,0.46494710000115447,0.48342849998152815,0.9091558456420898,26.828125,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,4,2,0.1,4,1,100,0,0.0,0.4675303999974858,0.48674699998809956,0.9090681076049805,26.921875,0.9090681076049805,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,4,3,0.1,4,1,100,0,0.0,0.46790549997240305,0.4855233999842312,0.9090681076049805,26.81640625,0.9090681076049805,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,4,4,0.1,4,1,100,0,0.0,0.4685726999887265,0.48736500000813976,0.9091558456420898,26.80078125,0.9091558456420898,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,4,0,0.1,4,1,100,4,0.017123400000855327,0.001034500019159168,0.01827869997941889,0.569549560546875,28.32421875,0.569549560546875,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,4,1,0.1,4,1,100,4,0.018144500005291775,0.000892400013981387,0.019187600002624094,0.5696182250976562,28.32421875,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,4,2,0.1,4,1,100,4,0.018282700009876862,0.0008050999895203859,0.019233800005167723,0.5696182250976562,28.32421875,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,4,3,0.1,4,1,100,4,0.016637599997920915,0.0008928000170271844,0.01765920000616461,0.5696182250976562,28.32421875,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,4,4,0.1,4,1,100,4,0.01721910000196658,0.0009106000070460141,0.0182595000078436,0.5696182250976562,28.32421875,0.5696182250976562,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,4,0,0.1,4,1,100,1,0.002248800010420382,0.0005360000068321824,0.0028750000055879354,0.12085723876953125,28.4453125,0.12085723876953125,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,4,1,0.1,4,1,100,1,0.0019339999998919666,0.0004391999973449856,0.0024639999901410192,0.1208953857421875,28.4453125,0.1208953857421875,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,4,2,0.1,4,1,100,1,0.001947999990079552,0.00042329999268986285,0.002512700011720881,0.12088775634765625,28.4453125,0.12088775634765625,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,4,3,0.1,4,1,100,1,0.0018808000022545457,0.0004199999966658652,0.002388199995039031,0.12088775634765625,28.4453125,0.12088775634765625,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,4,4,0.1,4,1,100,1,0.0021197000169195235,0.00043620000360533595,0.0026706000207923353,0.12088775634765625,28.4453125,0.12088775634765625,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,5,0,0.1,4,1,100,0,0.0,0.4754350000002887,0.4930672000045888,0.9091558456420898,26.80859375,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,5,1,0.1,4,1,100,0,0.0,0.51887749999878,0.5372801999910735,0.9091558456420898,26.78125,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,5,2,0.1,4,1,100,0,0.0,0.48520779999671504,0.504326399997808,0.9091558456420898,26.796875,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,5,3,0.1,4,1,100,0,0.0,0.48134030000073835,0.49961729999631643,0.9090681076049805,26.796875,0.9090681076049805,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,5,4,0.1,4,1,100,0,0.0,0.5062149000004865,0.526029100001324,0.9091558456420898,26.66796875,0.9091558456420898,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,5,0,0.1,4,1,100,4,0.018384700000751764,0.0009457000123802572,0.01943260000552982,0.569549560546875,28.51171875,0.569549560546875,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,5,1,0.1,4,1,100,4,0.02005219997954555,0.0010575999913271517,0.021247199998470023,0.5696182250976562,28.44140625,0.5696182250976562,True,False,68869e6
