workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version
d_only,1,89,uniform,,1100000,1100002,1000000,1100002,1000000,100002,1,3.170000854879618e-05,2.2999884095042944e-06,2.055072100018151,2.0550744000065606,64828.82794315849,0,0,10046,9.954409715309575,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,90,uniform,,1100000,1100001,1000000,1100001,1000000,100001,1,2.3100001271814108e-05,1.9999861251562834e-06,2.079466900002444,2.0794688999885693,90020.29374456666,0,0,10046,9.954310173203265,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,91,uniform,,1100000,1100000,1000000,1100000,1000000,100000,1,3.179998020641506e-05,2.6999914553016424e-06,2.0307150000007823,2.0307176999922376,63859.08691800311,0,0,10046,9.954210631096954,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,92,uniform,,1100000,1099999,1000000,1099999,1000000,99999,1,2.2499996703118086e-05,1.600012183189392e-06,2.1236680999863893,2.1236696999985725,94385.33383003878,0,0,10046,9.954111088990643,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,93,uniform,,1100000,1100000,1000000,1100000,1000000,100000,1,2.5399989681318402e-05,1.6999838408082724e-06,2.087536300008651,2.0875379999924917,82186.56882084752,0,0,10047,9.953219866626855,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,94,uniform,,1100000,1100001,1000000,1100001,1000000,100001,1,3.3100019209086895e-05,2.3999891709536314e-06,2.0608578999817837,2.0608602999709547,62261.60434992104,0,0,10048,9.952328821656051,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,95,uniform,,1100000,1100002,1000000,1100002,1000000,100002,1,2.7600006433203816e-05,2.0999868866056204e-06,2.447821899986593,2.4478239999734797,88689.25468903725,0,0,10049,9.951437954025277,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,96,uniform,,1100000,1100001,1000000,1100001,1000000,100001,1,3.2100011594593525e-05,2.7999922167509794e-06,2.0911884999950416,2.0911912999872584,65146.122886119745,0,0,10049,9.951338441635984,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,97,uniform,,1100000,1100002,1000000,1100002,1000000,100002,1,3.209998249076307e-05,2.00001522898674e-06,2.0748053999850526,2.0748074000002816,64635.7798044693,0,0,10050,9.95044776119403,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,98,uniform,,1100000,1100003,1000000,1100003,1000000,100003,1,4.189999890513718e-05,1.9999861251562834e-06,2.1984470000024885,2.1984489999886137,52468.951251430015,0,0,10051,9.94955725798428,10.0,10.0,10.0,10,1,True,True,True,3b86002
