experiment,param_name,param_value,algorithm,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,requested_fd_count,actual_nontrivial_fd_count,candidate_key_width,block_distribution,zipf_alpha,deleted_count,active_block_count,mean_deleted_block_size,max_deleted_block_size,raw_fd_index_count,bcnf_index_count,compression_ratio,index_count,validation_time_sec,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,result,candidate_consistent,code_version
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,4,1,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.26464730000589043,18.793590600020252,0.3495661999913864,19.407843799999682,597.1002502441406,661.14453125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,4,2,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.2688287000055425,19.25857940001879,0.4452958000183571,19.972744600003352,597.1003112792969,661.14453125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,4,3,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.26970710000023246,19.190262500022072,0.4404285000055097,19.900439100019867,597.1002502441406,666.35546875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,4,4,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.3103065000032075,19.316637800016906,0.3721633999957703,19.999153999990085,597.1003112792969,666.35546875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,4,0,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.2746355000126641,2.426472500024829,0.28894230001606047,2.990066200000001,133.7773208618164,535.5078125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,4,1,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.2714088000066113,2.4491407000168692,0.3083912000001874,3.02895060001174,133.7772674560547,535.5078125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,4,2,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.32776029998785816,2.6060783000139054,0.3162247000145726,3.250079099991126,133.7773666381836,536.47265625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,4,3,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.3263952999841422,2.4295622000063304,0.3109348999860231,3.06690219999291,133.7773666381836,536.4921875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,4,4,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.2631820999959018,2.4711888000019826,0.2787649999954738,3.0131453999783844,133.77725982666016,536.69140625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,5,0,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.301838300016243,19.76762939998298,0.48864809999940917,20.558162500004983,597.1004333496094,667.62890625,True,True,68869e6
