batch_size,batch_index,distribution,n,seed,incremental_time,static_rebuild_time,speedup,result_match,affected_block_rows,inc_is_repair,static_is_repair
1,27,zipf,1000000,1,1.7572256999992533,1.945116800001415,1.1069248531945792,True,2,False,False
1,28,zipf,1000000,1,0.001685799998085713,0.8462562999993679,501.99092475994934,True,1,False,False
1,29,zipf,1000000,1,1.2298668999974325,0.833901899997727,0.6780423962946461,True,1,False,False
1,30,zipf,1000000,1,1.8650108000001637,0.8751605999968888,0.4692522960171662,True,2,False,False
1,31,zipf,1000000,1,3.189999915775843e-05,0.8274324000012712,25938.320434094134,True,1,False,False
1,32,zipf,1000000,1,0.0024831000009726267,0.8661337999983516,348.81148550565354,True,1,False,False
1,33,zipf,1000000,1,3.190000279573724e-05,0.8365072000015061,26222.79394010861,True,1,False,False
1,34,zipf,1000000,1,0.002548599997680867,0.8617105000012089,338.11131632477986,True,1,False,False
1,35,zipf,1000000,1,0.002586200000223471,0.8350211999968451,322.8757249728141,True,1,False,False
1,36,zipf,1000000,1,0.0025574999999662396,0.8892813000020396,347.71507331917053,True,1,False,False
1,37,zipf,1000000,1,1.3582798999996157,0.8401730000005045,0.6185566023621069,True,1,False,False
1,38,zipf,1000000,1,3.440000000409782e-05,0.7692926000017906,22363.15697413228,True,1,False,False
1,39,zipf,1000000,1,3.310000101919286e-05,0.8193561000007321,24753.959962890418,True,1,False,False
1,40,zipf,1000000,1,0.002527699998609023,0.8318693000001076,329.1012780226609,True,1,False,False
1,41,zipf,1000000,1,1.9807890000010957,0.8815040000008594,0.4450267040055108,True,1,False,False
1,42,zipf,1000000,1,0.002270100001624087,1.0378124000017124,457.1659395001256,True,1,False,False
1,43,zipf,1000000,1,0.0024636999987706076,0.897383900002751,364.2423592363306,True,1,False,False
1,44,zipf,1000000,1,3.400000059627928e-05,0.888119999999617,26121.17601247356,True,1,False,False
1,45,zipf,1000000,1,3.220000144210644e-05,0.8755184000001464,27190.01120463528,True,1,False,False
1,46,zipf,1000000,1,1.3979577000027348,0.8822459000002709,0.6310962770894606,True,1,False,False
1,47,zipf,1000000,1,1.3127119000018865,0.8362839000001259,0.6370658329515593,True,1,False,False
1,48,zipf,1000000,1,1.3225278999998409,0.8731909999987693,0.6602439162144513,True,1,False,False
1,49,zipf,1000000,1,2.0005065000004834,0.8283783999977459,0.4140843331414048,True,1,False,False
10,0,zipf,1000000,1,6.178155099998548,1.1945397999988927,0.19334894975349087,True,10,False,False
10,1,zipf,1000000,1,7.278105299999879,0.7059369999988121,0.09699461204536623,True,10,False,False
10,2,zipf,1000000,1,7.901478399999178,0.9085154999993392,0.11498044467215575,True,10,False,False
10,3,zipf,1000000,1,10.877037900001596,1.090879200000927,0.10029193701722479,True,10,False,False
10,4,zipf,1000000,1,2.714263000001665,0.9784675000009884,0.36049104305676644,True,10,False,False
10,5,zipf,1000000,1,9.30344200000036,0.9510789999985718,0.10222872351958932,True,11,False,False
10,6,zipf,1000000,1,8.394645799999125,0.9991464000013366,0.11902186510375944,True,10,False,False
10,7,zipf,1000000,1,10.805183100001159,0.8158636000007391,0.07550668900748675,True,11,False,False
10,8,zipf,1000000,1,8.42148090000046,0.9105049000027066,0.10811695838467754,True,10,False,False
10,9,zipf,1000000,1,7.316708800000924,0.904272800002218,0.12359010379121604,True,10,False,False
10,10,zipf,1000000,1,1.8904862000017602,0.7056989999982761,0.3732896860064988,True,10,False,False
10,11,zipf,1000000,1,7.2925690000010945,0.9011338000018441,0.12356877254115921,True,11,False,False
10,12,zipf,1000000,1,10.890466700002435,0.7398157999996329,0.0679324238693524,True,10,False,False
10,13,zipf,1000000,1,12.222802799999045,0.7092635000008158,0.05802789356962147,True,10,False,False
10,14,zipf,1000000,1,8.883783299999777,0.9757218999984616,0.10983179880113533,True,12,False,False
10,15,zipf,1000000,1,10.662299700001313,1.2015823000001546,0.11269447809650358,True,11,False,False
10,16,zipf,1000000,1,11.117942900000344,0.8022741000022506,0.07216030044570798,True,14,False,False
