/*algorithm,case_type,n,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout
BCNF-Index,fail,1000,3,4,0.1,4,1,101,1,0.0037650000012945384,0.001199300000735093,0.005226899998888257,0.1545867919921875,28.99609375,0.1545867919921875,False,False
Singleton-FullScan,pass,1000,4,0,0.1,4,1,100,0,0.0,0.48716009999952803,0.5062848999987182,0.8854961395263672,27.3828125,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,4,1,0.1,4,1,100,0,0.0,0.5438892000001943,0.5644756000001507,0.8854961395263672,27.52734375,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,4,2,0.1,4,1,100,0,0.0,0.5981068999990384,0.6287047000005259,0.8854961395263672,27.5859375,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,4,3,0.1,4,1,100,0,0.0,0.5065757000011217,0.5290984999992361,0.8854961395263672,27.1640625,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,4,4,0.1,4,1,100,0,0.0,0.4972091999989061,0.5170837000005122,0.8854961395263672,27.296875,0.8854961395263672,True,False
FD-Hash,pass,1000,4,0,0.1,4,1,100,4,0.018719499999861,0.000676499999826774,0.019634500000393018,0.603118896484375,28.875,0.603118896484375,True,False
FD-Hash,pass,1000,4,1,0.1,4,1,100,4,0.018156999998609535,0.0006807999998272862,0.019067499999437132,0.603118896484375,28.8828125,0.603118896484375,True,False
FD-Hash,pass,1000,4,2,0.1,4,1,100,4,0.017120600001362618,0.0007590000004711328,0.018138299999918672,0.603118896484375,28.8828125,0.603118896484375,True,False
FD-Hash,pass,1000,4,3,0.1,4,1,100,4,0.01830070000141859,0.0006546999993588543,0.01921789999869361,0.603118896484375,28.87890625,0.603118896484375,True,False
FD-Hash,pass,1000,4,4,0.1,4,1,100,4,0.01701580000008107,0.0007873000013205456,0.018063299999994342,0.603118896484375,28.8828125,0.603118896484375,True,False
BCNF-Index,pass,1000,4,0,0.1,4,1,100,1,0.0021878000006836373,0.0054103000002214685,0.007786899999700836,0.1545867919921875,28.91796875,0.1545867919921875,True,False
BCNF-Index,pass,1000,4,1,0.1,4,1,100,1,0.0020679999997810228,0.006279299999732757,0.00853110000025481,0.1545867919921875,28.91796875,0.1545867919921875,True,False
BCNF-Index,pass,1000,4,2,0.1,4,1,100,1,0.002347800000279676,0.005279599999994389,0.007865099998525693,0.1545867919921875,28.91796875,0.1545867919921875,True,False
